token,n
ta_f,14
ta_gf,14
tall,14
test,14
titanium,14
trans,14
transitioning,14
tsoil_f,14
tsoil_gf,14
turbid,14
tussocks,14
upland,14
vanadium,14
variation,14
vpd_f,14
vpd_gf,14
0.22m,13
0.23m,13
0.25m,13
000.21m,13
000.53m,13
000.55m,13
000.67m,13
000.78m,13
"1,000",13
"1,2",13
140.25,13
1980,13
19m,13
25x25,13
35,13
44,13
45cm,13
63,13
8.50m,13
animal,13
arrival,13
arsenic,13
belt,13
betula,13
birds,13
boundaries,13
c24,13
cajanderi,13
charcoal,13
clay,13
closed,13
coded,13
collar,13
collect,13
coring,13
create,13
d13co,13
dc17o,13
dc18o,13
dee,13
deer,13
detailed,13
downstream,13
drained,13
exist,13
factors,13
fate,13
fc_cwbnegu_f,13
fc_cwbnegu_gf,13
filename,13
flooding,13
g.kg,13
gage,13
gear,13
geo,13
geology,13
gravel,13
growing,13
hillslope,13
homogenization,13
human,13
hummock,13
increase,13
inflorescences,13
initiated,13
intake,13
kilopascals,13
link,13
lithium,13
marked,13
micromole,13
nodes,13
official,13
person,13
photosynthesis,13
pinnularia,13
post,13
principle,13
references,13
sandpiper,13
sandvi,13
satellites,13
sightings,13
sr,13
stake,13
takes,13
tsoil,13
vial,13
warmed,13
0.08m,12
0.09,12
0.11,12
0.23,12
0.59,12
0.9,12
000.26m,12
000.31m,12
000.34m,12
000.37m,12
000.58m,12
005.00m,12
008.50m,12
10.1002,12
12cm,12
17δ,12
1997,12
2295_2300,12
24cm,12
25cm,12
3.2km,12
3.5,12
361nm,12
412nm,12
443nm,12
4km,12
555nm,12
7200,12
782009,12
828,12
9.00,12
985_990,12
9be,12
acronym,12
algae,12
altitudes,12
appears,12
atoms,12
banded,12
berrisford,12
biogeochemical,12
bk,12
bkf,12
bounded,12
broad,12
carbonates,12
centers,12
cobalt,12
componenets,12
connectivity,12
contrast,12
copepods,12
cycling,12
d180,12
davis,12
dbf,12
decagon_5tm,12
decibel,12
denormalized,12
depolarized,12
detrital,12
dg,12
diatoms,12
dist_corr,12
diurnally,12
dots,12
downslope,12
dpth,12
erosion,12
estimates,12
etip,12
extinction,12
female,12
flagellates,12
flexpart,12
flourescense,12
fluid,12
garden,12
geochip5,12
gf,12
gfe,12
gradientc,12
grip,12
h20,12
heath,12
historical,12
homogenized,12
humic,12
humididty,12
ibutton,12
informatimon,12
involved,12
joss,12
kolyma,12
layers,12
lb,12
leftover,12
lg,12
library,12
linearly,12
longitide,12
mehlich,12
mobile,12
mpl,12
mub,12
nesr,12
ngrip,12
nuber,12
numerous,12
operating,12
past,12
precision,12
proprietary,12
qj,12
regional,12
repeat,12
respondents,12
rotations,12
sag,12
sagwon,12
selected,12
shielding,12
shots,12
summit,12
tare,12
tc,12
telescope,12
temprature,12
tillers,12
time1,12
transmitted,12
trap,12
tropospheric,12
unisense,12
unpolarized,12
uplift,12
vaisala_gmp343,12
vane,12
walker,12
wf,12
wfe,12
www.ecmwf.int,12
x_,12
y_position,12
zinc,12
δ17o,12
0.13m,11
0.19m,11
0.24m,11
000.29m,11
000.43m,11
000.52m,11
000.57m,11
010.00m,11
100cm,11
2004,11
23.5,11
271,11
290k,11
66,11
70cm,11
accuracy,11
acidification,11
advantage,11
adventitious,11
ammonia,11
apparent,11
aquatilis,11
ar,11
archive,11
bare,11
boreholes,11
bounds,11
cal,11
centered,11
clutter,11
coherent,11
compared,11
correlation,11
cut,11
dc,11
degrees_celsius,11
detectable,11
dic,11
document,11
dom,11
drawn,11
earth,11
effects,11
electrode,11
enzyme,11
equations,11
eriophorum,11
fft,11
flights,11
game,11
gates,11
gdgts,11
glacial,11
h1,11
hatpro,11
hhmmss,11
home,11
installations,11
integrations,11
inter,11
irt,11
jaot,11
juvenile,11
laboratory,11
lost,11
lowland,11
match,11
modified,11
molecules,11
motion,11
narrow,11
nearfield,11
no2,11
nyquist,11
ovalifolia,11
pilots,11
pool,11
projected,11
rangecorrectedcalibratedpower,11
receivers,11
rocks,11
school,11
segments,11
sekelsky,11
shield,11
slave,11
subgrid,11
subunit,11
summed,11
taxonomic,11
term,11
terrace,11
thallium,11
tipping,11
toc,11
transplant,11
uncorrection,11
underlying,11
v19,11
vienna,11
windowing,11
x_uncertainty,11
y_uncertainty,11
0.04m,10
0.14,10
0.17,10
0.28m,10
0.7,10
0.70,10
000.65m,10
007.00m,10
1.25,10
125cm,10
187os,10
188os,10
1a,10
2510_2515,10
2cm,10
38,10
500,10
5mm,10
675_680,10
700_705,10
add,10
affect,10
ak,10
apogee,10
applicable,10
bacterial,10
behavior,10
bins,10
blauuw,10
boat,10
bonanza,10
box,10
built,10
c4,10
capillary,10
checked,10
cloudiness,10
coldfoot,10
conversion,10
copied,10
copper,10
crdirms,10
crustose,10
cryostructures,10
cymbella,10
daytime,10
derivative,10
designation,10
di,10
dionex,10
discontinued,10
dividing,10
drepanocladus,10
drilling,10
e5,10
eaten,10
ee03,10
eem,10
eems,10
elevated,10
evolved,10
exponential,10
farmstead,10
food,10
furnace,10
ghaas,10
hatched,10
haziness,10
held,10
hyt,10
hz,10
impact,10
investigator,10
kite,10
kuparuk,10
liters,10
maps,10
marks,10
martin,10
mast,10
measures,10
metadata,10
modelled,10
n4,10
nanogams,10
nasa,10
nitrous,10
nodc,10
oceanographic,10
openness,10
orographic,10
palustris,10
parafac,10
permeability,10
permille,10
picked,10
pixel,10
pluralis,10
porosity,10
propagated,10
propane,10
radiative,10
rangefinder,10
residual,10
saved,10
sea's,10
seedling,10
separately,10
sequences,10
shapefile,10
shipboard,10
simplified,10
snowmelt,10
st,10
strips,10
students,10
tantalum,10
tco2,10
timezone,10
topography,10
tsg,10
versus,10
waterbody,10
0.04,9
0.16,9
0.17m,9
0.18m,9
0.24,9
0.6,9
0.8,9
000.44m,9
000.49m,9
000.56m,9
000.72m,9
000.75m,9
000.76m,9
000.80m,9
000.90m,9
015.00m,9
"1,2,3",9
1.04,9
1.4,9
10000,9
125,9
155,9
17.5,9
226,9
2x50,9
32,9
34,9
440,9
45.0,9
512,9
518,9
55.0,9
agency,9
alt,9
angustifolium,9
article,9
ash,9
backscattering,9
banding,9
baro,9
bcf,9
bearing,9
biogenic,9
blaauw,9
bone,9
boron,9
boxes,9
brown,9
burial,9
calculations,9
cations,9
changed,9
classical,9
cm2,9
cone,9
costech,9
crest,9
csv,9
deposited,9
diseased,9
disturbed,9
e2,9
e6,9
eastern,9
ecotype,9
equal,9
ester,9
facility,9
fc_cwbu_f,9
fc_cwbu_gf,9
fc_cwu,9
fence,9
frost,9
gc,9
geochronology,9
gravity,9
imputed,9
isolates,9
isotropologues,9
j2,9
j6,9
joint,9
language,9
letters,9
lying,9
management,9
mapfactor,9
marine,9
maritime,9
measureable,9
mineralization,9
modelling,9
molybdenum,9
muffle,9
n3,9
nanometers,9
nanomol,9
nickle,9
nims,9
observing,9
oes,9
orcid,9
pb,9
performed,9
phospholipid,9
pol,9
presence,9
presssure,9
pro,9
processor,9
quaternary,9
rectangular,9
relation,9
researchers,9
sbe37sm,9
search,9
semi,9
silver,9
snowfence,9
sounding,9
sp,9
space,9
spent,9
sr50,9
steel,9
surname,9
suva,9
swale,9
tarsal,9
tidbit,9
tissues,9
transport,9
traps,9
underwater,9
updated,9
variegatum,9
wetstar,9
yield,9
0.00001,8
0.06m,8
0.07,8
0.12m,8
0.21,8
0.26,8
0.32,8
0.40,8
0.40m,8
000.45m,8
000.46m,8
000.68m,8
000.69m,8
000.85m,8
000.86m,8
001.25m,8
002.50m,8
0m,8
10.6,8
12c,8
15m2,8
1605,8
172,8
18.4,8
18.5,8
1805,8
1h1,8
1m2,8
2.5m,8
2min,8
3.2,8
32767,8
42,8
45deg,8
49.5,8
4m,8
52,8
54,8
58,8
65535,8
accelerator,8
acupar,8
advanced,8
aggregate,8
alkaline,8
alternative,8
anthanum,8
application,8
aquatic,8
aspirated,8
ba,8
bgos,8
bonding,8
brownie,8
c14co,8
c18,8
c26,8
canyon,8
characteristic,8
chromatograph,8
citation,8
cms,8
coefficients,8
combinations,8
combustion,8
compiled,8
completed,8
consecutive,8
contact,8
corner,8
correspondant,8
crucible,8
cruises,8
cup,8
cushion,8
dbar,8
depletion,8
designated,8
determination,8
diagram,8
dmax,8
dryas,8
education,8
efflux,8
environment,8
equisetum,8
exclosure,8
fc_cwbexpu_f,8
fc_cwbexpu_gf,8
fires,8
fixation,8
flightline,8
floodplain,8
fox,8
fragilaria,8
fresh,8
functions,8
gapfilled,8
gill,8
glucose,8
gomphonema,8
greenhouse,8
gust,8
headwall,8
herbivory,8
hmp,8
horsetails,8
identifiers,8
import,8
incident,8
intervals,8
iodine,8
isnet93,8
iv,8
jj,8
jja,8
jois,8
l2130,8
launch,8
legacy,8
meter2,8
microrelief,8
millimolar,8
mj,8
mjj,8
mjja,8
mmp,8
molecule,8
msec,8
n1,8
n15,8
nana,8
nanometer,8
nhd,8
nitzschia,8
noted,8
onboard,8
oppositifolia,8
originated,8
pellicciotti,8
pentane,8
peptide,8
phalarope,8
picks,8
poopaddition,8
poopremoval,8
practicalsalintyunit,8
primarily,8
prostrate,8
puccinellia,8
quantified,8
reason,8
refrozen,8
replace,8
resources,8
responsivity,8
retreat,8
richardsonii,8
riparian,8
rosette,8
saltwater,8
sectors,8
sequentially,8
service,8
sets,8
sg,8
silicic,8
similar,8
site’s,8
smooth,8
specimen,8
statistics,8
stellaria,8
stems,8
strip,8
structures,8
student,8
supersucker's,8
tables,8
tfs,8
thinning,8
thousands,8
transient,8
transmissometer,8
transmxssometer,8
troughs,8
unacidified,8
unmanipulated,8
uranium,8
vandecrux,8
windspeed,8
zoom,8
δ13c,8
λ,8
0.14m,7
0.1m,7
0.20,7
0.20m,7
0.27m,7
0.30,7
0.33m,7
0.36,7
0.3m,7
0.4,7
0.47,7
0.48,7
0.48m,7
0.54,7
0.55,7
0.60,7
000.62m,7
000.74m,7
000.97m,7
008.00m,7
"1,2,3,4",7
105,7
13.1,7
14.2,7
14n,7
151,7
171,7
187,7
1991,7
1b,7
1cm,7
2.000,7
241,7
390,7
49,7
4th,7
5.000,7
550,7
8.000,7
81,7
86,7
96,7
access,7
addtion,7
adjacent,7
advacement,7
akdt,7
apr,7
arctica,7
avg,7
avhrr,7
belongs,7
belowground,7
borough,7
bryum,7
buffer,7
cadmium,7
caespitosa,7
calliergon,7
camp,7
carbonyl,7
chicks,7
chosen,7
climate,7
coast,7
collars,7
count_fi,7
count_year,7
default,7
define,7
department,7
dependent,7
deschampsia,7
development,7
diffusion,7
dna,7
dye3,7
ecs4010,7
elodea,7
empirical,7
encalypta,7
engaged,7
evapotranspiration,7
experimenetal,7
extensive,7
floatplane,7
formation,7
gis,7
glass,7
grabs,7
grow,7
gww,7
h8,7
health,7
hh:mm:ss,7
hole,7
horizons,7
identifying,7
ii,7
increases,7
infl,7
inflorescence,7
int,7
intercepts,7
intertussock,7
invaded,7
killed,7
lagrangian,7
lai,7
landform,7
lemming,7
malaria,7
manipulated,7
measurments,7
membranes,7
mound,7
mt,7
multicore,7
nacl,7
named,7
nanograms,7
neodymium,7
nests,7
nome,7
nsf,7
nucleotides,7
ontology,7
operation,7
oscillating,7
pairs,7
parent,7
passed,7
perimeter,7
phenological,7
phi,7
phi_0,7
phi_2,7
phi_3,7
phi_4,7
phi_5,7
pieces,7
pond,7
porewater,7
predators,7
predictive,7
preservative,7
principal,7
produced,7
published,7
quotient,7
rbr,7
recap,7
resighting,7
responsible,7
roster,7
rubidium,7
saturated,7
scenario,7
sliding,7
spectroscopy,7
spp,7
stratigraphic,7
successive,7
susceptibility,7
tdn,7
tdr,7
tephra,7
testing,7
tests,7
treeline,7
upstream,7
v1,7
valve,7
variations,7
village,7
vsmov,7
watersheds,7
webber,7
weighted,7
wing,7
wood,7
x2,7
δ15n,7
0.09m,6
0.16m,6
0.19,6
0.28,6
0.31,6
0.33,6
0.35,6
0.35m,6
0.41m,6
0.45,6
0.54m,6
0.56,6
0.62,6
000,6
000.51m,6
000.61m,6
000.64m,6
000.71m,6
000.83m,6
000.92m,6
000.93m,6
001.20m,6
03001,6
1.0m,6
1.2,6
1.6,6
105c,6
11.000,6
110cm,6
12.4,6
13.4,6
14.000,6
14.4,6
190sb,6
1972,6
1992,6
1996,6
1h,6
22.9,6
"26,000",6
27,6
"27,000",6
275,6
28.1,6
29,6
295,6
2km,6
2mm,6
"42,000",6
5.2,6
65c,6
720,6
75cm,6
76,6
94,6
aa,6
aarhus,6
abundances,6
acceleration,6
acquired,6
adaptive,6
aer_dof200,6
amax,6
amb,6
antarctic,6
aot361nm,6
arcticum,6
arizona,6
aromatic,6
assessment,6
assumed,6
attainment,6
availability,6
avian,6
baccalaureate,6
basal_uplift,6
bay,6
bering,6
beta,6
bigelowii,6
bodies,6
bro_dof200,6
bro_dofaloft,6
bro_dofs_fine,6
bro_ltvcd,6
bro_vcd_200,6
c14ch4,6
c16,6
caloneis,6
chi,6
chl,6
chrysanthemum,6
cie,6
cn,6
colorspace,6
combusted,6
commas,6
comparison,6
connect,6
connected,6
contained,6
continuity,6
correcting,6
countries,6
crew,6
decay,6
delivered,6
delta13c,6
denmark,6
denote,6
describe,6
dgps,6
dilation,6
dimensionless,6
dir,6
directly,6
dispersion,6
disulfide,6
doas,6
dofs_fine,6
downvalley,6
drift,6
dyes,6
ea,6
earth's,6
ecotriplet,6
ellipse,6
eminens,6
encyonema,6
ensure,6
entering,6
entire,6
entries,6
eps_im,6
eps_re,6
exception,6
exposing,6
f0,6
fame,6
femtogram,6
festuca,6
filters,6
foliose,6
frictional,6
front,6
fv:fm,6
generating,6
geodetic,6
geographical,6
geological,6
glareosa,6
gmd,6
gmu,6
gradient,6
graphite,6
h3l,6
haplotype,6
hardware,6
harp,6
hbr,6
hdr,6
highly,6
hour's,6
hull,6
humifusa,6
hydrography,6
hydroxide,6
ifsar,6
incubations,6
initially,6
initiation,6
interfaced,6
isolated,6
jul,6
ka,6
keywords,6
kilowatts,6
laid,6
lateral_strainrate,6
lavrentia,6
lbr,6
ldr,6
leucine,6
leymus,6
ligusticum,6
limited,6
lofted,6
longitudinal_strainrate,6
ltvcd,6
lumens,6
ma,6
macc,6
magnetometer,6
manually,6
matlab,6
meesia,6
meridian,6
mesic,6
microsensors,6
mitochondrial,6
module,6
mollis,6
multimeter,6
multiplicative,6
mycorrhizal,6
n10,6
n11,6
n12,6
n13,6
n14,6
n16,6
n17,6
n18,6
n19,6
n20,6
n21,6
n22,6
n23,6
n24,6
n25,6
n26,6
n27,6
n28,6
n29,6
n30,6
n31,6
n32,6
n33,6
n34,6
n35,6
n36,6
n37,6
n38,6
n39,6
n40,6
n41,6
n42,6
n43,6
n44,6
n45,6
n46,6
n47,6
n48,6
n49,6
n5,6
n50,6
n6,6
n7,6
n8,6
n9,6
nsidc.org,6
o4,6
oct,6
ohms,6
otc,6
passively,6
pb204,6
peaks,6
peat,6
pedicularis,6
pilot,6
pin,6
placement,6
planktic,6
plants,6
plfas,6
poa,6
pre,6
preparation,6
process,6
product,6
proficient,6
provisional,6
question,6
ramenskii,6
rcp85,6
recoded,6
redundant,6
referred,6
rel,6
remaining,6
repeated,6
resistance,6
resp,6
results,6
return,6
revegetated,6
roadside,6
rubra,6
rv,6
s.d,6
safe,6
samis,6
saxifraga,6
scoticum,6
sentry,6
sequenced,6
sighted,6
signals,6
simultaneously,6
slug,6
so4,6
sort,6
spiders,6
split,6
spoken,6
spreadsheet,6
sst,6
stabilized,6
stamps,6
started,6
stauroneis,6
stip,6
stohl,6
stowaway,6
subglacial,6
subsequent,6
successful,6
successfully,6
sulfide,6
sun,6
surveyed,6
survival,6
symbol,6
t_tide,6
tail,6
te525,6
thawed,6
thermocouples,6
thickening,6
tip,6
title,6
tool14,6
transmissivity,6
transplanted,6
triglochin,6
triple,6
triquetra,6
usgs,6
utilized,6
vaccinium,6
valley,6
valve:height,6
vanillic,6
variability,6
vary,6
viable,6
wais,6
web,6
week,6
µs,6
0.12,5
0.13,5
0.21m,5
0.31m,5
0.36m,5
0.38m,5
0.39,5
0.39m,5
0.41,5
0.42m,5
0.44,5
0.44m,5
0.53,5
0.58,5
0.59m,5
0.67m,5
0.69m,5
0.75,5
0.85,5
0.92,5
000.42m,5
000.59m,5
000.88m,5
001.01m,5
001.07m,5
01t00,5
020.00m,5
1.000,5
1.02,5
1.17,5
106,5
108,5
12.8,5
1345,5
150cm,5
1600,5
1978,5
3.000,5
3.5m,5
3166,5
359,5
35cm,5
375,5
450,5
460,5
5.00,5
560,5
6.000,5
6.2,5
60cm,5
7.000,5
72,5
74,5
80cm,5
82,5
88,5
9.000,5
9.45,5
92,5
98,5
abbreviated,5
accelerated,5
accompanying,5
accumulated,5
acidified,5
airspeed,5
airwave,5
aligned,5
alkanes,5
allometry,5
amended,5
ams,5
angles,5
applies,5
approach,5
assuming,5
atrofusca,5
attack,5
automated,5
bbeer,5
binary,5
birch,5
bird's,5
bistorta,5
borealis,5
breeding,5
bryophytes,5
bubblyice,5
c:n,5
capillaceum,5
categorization,5
cbt,5
cerium,5
chain,5
characteristics,5
cims,5
clearice,5
clipped,5
closest,5
cluster,5
compass,5
completely,5
contribution,5
converting,5
cost,5
crude,5
cwd,5
daphnia,5
dated,5
ddthh:mm,5
dem,5
destinations,5
digitized,5
discovered,5
dish,5
distichium,5
distinguish,5
diversity,5
dmin,5
dominated,5
dp,5
dunlin,5
ec,5
ect9,5
enclosed,5
encyonopsis,5
equator,5
equivalents,5
error_sea_water_velocity,5
events,5
expanding,5
expansion,5
features,5
fertilization,5
fertilizer,5
fetch,5
fia,5
fibric,5
fitting,5
flown,5
fly,5
flying,5
fr,5
freezing,5
fri,5
fruticose,5
fumigated,5
fw2,5
garmin,5
gca,5
gcmd,5
gdgt,5
genbank,5
generalized,5
geologic,5
geomorphology,5
greenness,5
greenwich,5
gross,5
gtnp’s,5
gyro,5
hasn’t,5
headspace,5
heating,5
hill,5
holes,5
host,5
hour:minute:second,5
huc8,5
hundredths,5
hunter,5
ibuttons,5
icelens,5
imaging,5
incomming,5
indices,5
influenza,5
initials,5
insect,5
instrument_pitch,5
instrument_roll,5
integration,5
interpretation,5
invertebrate,5
irm,5
iso8601,5
isolate,5
isus,5
knife,5
krausei,5
ky,5
lachat,5
larger,5
leach,5
luminous,5
macroinfauna,5
magnetic_compass_correction_applied,5
manager,5
mapping,5
margins,5
maximal,5
meadow,5
message,5
microorganism,5
microsite,5
microtopography,5
milli,5
mmsi,5
multihole,5
n2o,5
nad,5
nd5,5
needle,5
nutrient,5
o18,5
occurring,5
outlet,5
outlined,5
palmated,5
pam,5
pamir,5
pectoral,5
peroxide,5
pertaining,5
photographs,5
phylum,5
pits,5
planktonic,5
plastic,5
polygonal,5
polygonum,5
portion,5
ppmv,5
pressure_time_series,5
price,5
projection,5
pseudotriquetrum,5
quadrant,5
r2016b,5
radio,5
raman,5
randomly,5
ranging,5
rariflora,5
read,5
remove,5
reporting,5
reserved,5
result,5
retained,5
reticulata,5
retranslocation,5
rolls,5
rotundata,5
rrna,5
scanned,5
seal,5
sf6,5
shfp1_avg,5
shfp2_avg,5
shfp3_avg,5
shfp4_avg,5
shot,5
sideslip,5
silva,5
slightly,5
slump,5
soluble,5
solution,5
sorted,5
speeds,5
spruce,5
sq,5
steward,5
stick,5
stratigraphy,5
stress,5
substances,5
sumup,5
taylor,5
text,5
timeseries,5
tn,5
tool,5
town,5
traveled,5
ts,5
u.s,5
unkow,5
us_bzc_101,5
us_bzc_102,5
us_bzc_201,5
us_bzc_202,5
viewed,5
waterline,5
widely,5
wolf,5
ww,5
xuelong,5
yaw,5
yyyymmdd,5
0.18,4
0.29m,4
0.34,4
0.34m,4
0.38,4
0.43m,4
0.46,4
0.49,4
0.53m,4
0.56m,4
0.57m,4
0.58m,4
0.64,4
0.64m,4
0.71,4
0.73,4
0.77m,4
0.78,4
0.79m,4
0.91,4
0.95m,4
000.66m,4
000.73m,4
000.77m,4
000.82m,4
000.94m,4
000.96m,4
000.98m,4
001.03m,4
001.08m,4
001.10m,4
001.40m,4
001.47m,4
004.70m,4
1.8,4
10.00,4
10.000,4
10.1007,4
104,4
112,4
114,4
116,4
118,4
11m,4
12.000,4
122,4
124,4
126,4
128,4
13.000,4
14.5,4
15.000,4
15.4,4
17o,4
18.000,4
1961,4
1974,4
1983,4
1σ,4
2.2,4
2011a,4
21.000,4
2201,4
25m,4
2g,4
2hto,4
3.15,4
30m,4
4.000,4
4.2,4
410,4
475,4
496,4
5.28,4
532nm,4
5km,4
6.3,4
6.8,4
62,4
64,4
660,4
668,4
68,4
6th,4
7.00,4
7.5m,4
7.75,4
700,4
717,4
721x721,4
760,4
78,4
8.2,4
8.45,4
840,4
9999,4
aa3,4
accurately,4
acrocarpous,4
action,4
administrative,4
administrator,4
aka,4
ald,4
alkenones,4
alternate,4
amphora,4
ancillary,4
aov,4
apps,4
aragonite,4
argon,4
arranged,4
assignment,4
asymmetry,4
atomic,4
atqasuk,4
attending,4
attributes,4
aug,4
aulocoseira,4
autoanalyzer,4
awi,4
bar,4
benzene,4
blowing,4
boolean,4
brachysira,4
c13,4
c22,4
c30,4
c37,4
calamagrostis,4
calcite,4
called,4
calon,4
calving,4
canoe,4
capitata,4
carrier,4
carrying,4
cartesian,4
casting,4
catalog,4
categorical,4
caught,4
central,4
century,4
changing,4
char,4
chroma,4
chromatography,4
circle,4
clark,4
classes,4
collecting,4
conduct,4
conflor,4
conjunction,4
continuous,4
contributor,4
controls,4
corer,4
cox1,4
cps,4
cr10x,4
crests,4
cryogenic,4
csd,4
culmen,4
culture,4
cutter,4
dating,4
day's,4
dbh,4
dean,4
dec,4
degrading,4
del13c,4
del15n,4
delta14c,4
den,4
depredated,4
dept,4
deschampsioides,4
descriptive,4
detachment,4
developed,4
deviations,4
dimensions,4
disintegration,4
disintegrations,4
dissolution,4
ditrichum,4
don,4
double,4
driven,4
dry_soil_g,4
dst,4
dupontia,4
eagle,4
ecotypes,4
egedii,4
ekman,4
embedded,4
emissions,4
empetrum,4
english,4
environmental,4
epilimnetic,4
esri,4
estimation,4
evenness,4
exceeds,4
excluded,4
excluding,4
exp,4
expanded,4
extent,4
external,4
extracting,4
f5,4
failed,4
fairly,4
falls,4
fawns,4
fco2,4
feb,4
fecal,4
fertilized,4
fieldscout,4
finite,4
fisher,4
fisheri,4
flag_meanings,4
flask,4
flat,4
flexicaule,4
floe,4
flowing,4
fluorescent,4
fluroscence,4
fmaxsummary,4
foliage,4
fractionation,4
fractioning,4
freeboard,4
fum,4
funding,4
fw1,4
gdb,4
geometric,4
geotek,4
giganteum,4
gly,4
gully,4
h10,4
harvests,4
hbbtempdrift,4
heater,4
herbaceous,4
hexane,4
hmp155,4
holding,4
hue,4
hugo,4
humified,4
hunters,4
hunting,4
hydric,4
hydroxybenzoic,4
hydroxyl,4
imminently,4
imnavait,4
inches,4
incubated,4
inserted,4
insoluble,4
interpolation,4
intracellular,4
irvine,4
island,4
isusdata,4
jaz,4
jun,4
kangerlussuaq,4
kneeling,4
lanata,4
landcover,4
lat,4
laxa,4
laying,4
lemmings,4
lgr,4
li7700,4
limits,4
lin,4
lineage,4
lipid,4
liverworts,4
loop,4
lwskynen,4
magnetization,4
malfunctioned,4
mar,4
mate,4
mbt,4
meas,4
meg,4
membranacea,4
membrane,4
merged,4
microlysimeter,4
micromols,4
microtopographical,4
midyear,4
migration,4
minor,4
misandra,4
mlstp,4
mm:nn,4
modules,4
molars,4
molt,4
morphology,4
mucci,4
multiply,4
nais,4
naming,4
nanomole,4
nation,4
nationwide,4
native,4
necked,4
neidium,4
nicl,4
nigritum,4
nigrum,4
nitens,4
nmin,4
nn,4
nov,4
np,4
ntu,4
numer,4
observation's,4
occasion,4
offline,4
olaf,4
ongoing,4
operated,4
organics,4
originating,4
overnight,4
oxidation,4
p85,4
pachyderma,4
paired,4
parnassia,4
pascals,4
pathlength,4
petri,4
photopoints,4
pies,4
pilot’s,4
pleurocarpous,4
pod,4
pollen,4
pooled,4
pores,4
potentilla,4
prebait,4
preceding,4
prime,4
primula,4
projects,4
proportional,4
proportions,4
prudhoe,4
pumping,4
pw,4
radical,4
reactive,4
reagents,4
recapture,4
recent,4
reduce,4
refuge,4
reindeers,4
release,4
releves,4
remanence,4
replicates,4
represented,4
resighted,4
retrogressive,4
revegetation,4
revolvens,4
rinsed,4
routine,4
russian,4
saxatilis,4
sb,4
scalar,4
scorpidium,4
scorpioides,4
sectioned,4
sedimentary,4
seeds,4
seg1,4
seg2,4
selawik,4
sep,4
shfp5_avg,4
shifts,4
shipping,4
slide,4
slurry,4
spaced,4
span,4
special,4
specifications,4
spectrometric,4
spider,4
sr87_sr86,4
staff,4
stefan,4
structural,4
studied,4
subdivision,4
subnation,4
subsided,4
substrate,4
subtracting,4
summary,4
swskynen,4
te525mm,4
teachers,4
tenth,4
texas,4
texture,4
threatened,4
tilts,4
timescale,4
timing,4
toluene,4
tomentypnum,4
tow,4
transformed,4
translates,4
trapping,4
trigger,4
triplicate,4
uk37,4
umiat,4
undecomposed,4
uv,4
valencia,4
vaporized,4
velocities,4
visited,4
visually,4
volumes,4
wall,4
waltham,4
waves,4
wedges,4
wgs_1984_web_mercator_auxiliary_sphere,4
whimbrel,4
wildlife,4
woods,4
xeric,4
yearly,4
yyy,4
δ2h,4
δd,4
_f,3
_pi_f,3
0.27,3
0.29,3
0.30m,3
0.32m,3
0.37,3
0.37m,3
0.49m,3
0.4m,3
0.52m,3
0.62m,3
0.63m,3
0.65m,3
0.70m,3
0.74m,3
0.75m,3
0.77,3
0.78m,3
0.80m,3
0.82m,3
0.83,3
0.84,3
0.84m,3
0.85m,3
0.86,3
0.90m,3
0.97,3
000.81m,3
000.84m,3
000.87m,3
000.91m,3
000.95m,3
001.02m,3
001.05m,3
001.06m,3
001.13m,3
001.23m,3
001.48m,3
001.80m,3
002.20m,3
002.80m,3
002.96m,3
004.50m,3
007.20m,3
007.50m,3
007.53m,3
007.72m,3
008.48m,3
008.75m,3
010.80m,3
011.00m,3
012.00m,3
013.00m,3
024.00m,3
027.00m,3
030.00m,3
040.00m,3
050.00m,3
060.00m,3
07,3
1.03m,3
1.05,3
1.21,3
1.2m,3
1.3,3
1.36,3
1.7,3
1.95,3
10.3,3
10.55,3
10.84m,3
115,3
13.09m,3
134a,3
15.00,3
15.08,3
15.39m,3
16.63m,3
16s,3
17.000,3
17.84m,3
19.65m,3
19.8,3
1901na01na15,3
1975,3
1986,3
1989,3
2.3,3
2.50,3
2.6,3
2.66,3
20.000,3
20.5,3
2016_tutakoke_biomass.csv,3
2100,3
213,3
2130i,3
250cm,3
254nm,3
28.4m,3
295nm,3
2a,3
2nb,3
3.3,3
3.45,3
3.6,3
310nm,3
35m,3
37.15m,3
397nm,3
3a,3
4.1,3
4.5m,3
4.77,3
41,3
420,3
420nm,3
45.95m,3
490,3
510,3
54.5m,3
55,3
552,3
58.7m,3
600,3
62.85m,3
620,3
67m,3
680,3
69.15m,3
6cm,3
6m,3
7.2,3
7.50m,3
7.58m,3
70.35m,3
71.7m,3
72b,3
75,3
79,3
7m,3
7th,3
8.00,3
8.50,3
8500,3
86400,3
885,3
8m,3
8th,3
9.2,3
9.5,3
a.s.l,3
ab,3
abandoned,3
ability,3
absence,3
accidentally,3
actiity,3
ad,3
address,3
adequately,3
adopted,3
adults,3
agassiz,3
agd3,3
agm8,3
agu9,3
airport,3
alaskan,3
ald7,3
alive,3
alluvium,3
alm12,3
altered,3
alu10,3
american,3
ampere,3
anchorage,3
andersonii,3
angustata,3
anthracene,3
antimony,3
aon,3
apetalum,3
applying,3
ardem,3
arrays,3
asdn,3
asdn_protocol.pdf,3
atm,3
bacillum,3
bags,3
baid,3
bark,3
bedmachine,3
